Model,Context,ZH,HI,ES,KO,PT,DE,TR,EN,FR,BN,IT,AVG
DistilGPT2,None,34.65,30.35,36.40,37.89,42.93,34.74,42.49,29.74,33.18,40.00,33.63,35.22
DistilGPT2,Simple,39.43,55.92,46.14,45.19,46.27,55.92,28.72,46.67,48.42,33.85,36.10,48.36
DistilGPT2,Long,39.51,46.74,46.99,45.97,33.25,48.97,21.21,47.14,46.62,25.88,38.48,46.74
DistilGPT2,Short,46.14,56.91,44.56,32.80,45.42,51.69,22.15,39.03,55.28,27.28,34.89,46.18
DistilGPT2,Graph,33.21,36.34,46.30,41.35,25.23,48.65,21.06,46.50,35.54,25.90,37.51,43.21
GPT2,None,41.28,48.62,41.88,42.52,44.36,40.43,46.69,34.65,43.38,42.67,41.19,42.16
GPT2,Simple,45.22,49.86,39.19,42.18,44.46,38.45,46.03,33.01,40.59,45.43,35.00,41.39
GPT2,Long,35.18,41.00,36.83,38.10,43.14,34.74,46.29,30.79,33.28,45.66,34.29,37.85
GPT2,Short,35.19,35.47,37.04,44.50,43.20,35.02,45.39,29.97,33.28,40.38,33.70,36.54
GPT2,Graph,34.99,36.92,36.45,38.05,42.93,34.86,43.41,29.84,33.37,40.49,33.72,36.10
DistilRoBERTa,None,61.53,75.65,71.45,63.19,67.38,75.33,71.30,73.88,85.94,60.75,72.68,72.70
DistilRoBERTa,Simple,63.13,80.15,70.53,63.45,64.43,75.77,70.09,73.94,85.71,57.25,72.37,73.46
DistilRoBERTa,Long,60.04,83.66,72.67,67.14,67.68,78.17,72.79,76.67,91.48,58.18,72.86,75.48
DistilRoBERTa,Short,56.25,81.99,72.98,65.90,67.59,77.00,71.90,75.42,89.38,58.12,72.14,74.33
DistilRoBERTa,Graph,56.16,83.55,72.64,67.17,67.66,77.74,72.64,76.94,91.90,58.25,71.63,75.21
RoBERTa,None,62.17,75.03,72.56,63.47,65.97,75.78,71.57,74.93,86.32,60.43,72.71,73.19
RoBERTa,Simple,59.32,81.99,73.06,65.51,69.97,76.81,71.97,74.88,87.42,49.50,72.86,74.47
RoBERTa,Long,62.67,85.32,72.85,68.96,68.79,78.82,73.60,77.94,92.45,47.77,73.32,76.48
RoBERTa,Short,60.72,83.45,73.19,66.76,68.07,77.90,73.27,76.42,90.04,58.34,72.73,75.38
RoBERTa,Graph,63.23,86.20,72.88,67.73,67.92,78.31,73.66,76.78,91.52,58.73,73.62,76.13
DistilBERT,None,40.15,40.21,42.35,43.48,46.61,42.23,42.84,36.97,40.34,41.79,42.67,41.96
DistilBERT,Simple,37.28,39.66,38.06,39.05,43.38,38.36,42.50,36.31,37.59,40.17,40.98,39.69
DistilBERT,Long,52.42,65.29,58.99,55.01,52.03,57.50,46.54,59.49,66.39,45.42,57.98,59.73
DistilBERT,Short,42.17,48.92,42.86,42.58,44.96,44.97,42.63,42.30,46.59,39.95,48.26,45.67
DistilBERT,Graph,52.51,69.36,57.60,54.55,52.72,56.01,46.31,55.79,64.96,48.91,57.64,58.69
BERT,None,40.30,38.50,41.38,41.33,47.03,41.11,42.74,36.66,40.43,42.88,41.23,41.19
BERT,Simple,41.55,39.44,44.01,44.90,47.25,43.51,49.37,37.39,40.57,45.65,44.14,43.01
BERT,Long,54.75,66.03,59.89,55.37,52.06,60.34,48.26,60.84,67.76,50.88,57.70,60.90
BERT,Short,45.58,49.30,49.30,46.02,48.09,49.47,43.63,43.63,49.73,44.99,47.59,48.24
BERT,Graph,54.64,70.90,53.53,51.37,49.94,56.63,45.26,56.19,66.93,48.68,54.57,58.18